subject,tag,file,lineno,LMC
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\dia.py,212,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\interface.py,607,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\matfuncs.py,108,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\matfuncs.py,300,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\matfuncs.py,342,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\_expm_multiply.py,42,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\_expm_multiply.py,281,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\eigen\arpack\arpack.py,1744,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\eigen\arpack\tests\test_arpack.py,725,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\isolve\tests\demo_lgmres.py,14,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\tests\test_onenormest.py,14,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\tests\test_onenormest.py,144,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\tests\test_onenormest.py,229,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\tests\test_onenormest.py,230,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\tests\test_onenormest.py,231,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\tests\test_base.py,2769,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\tests\test_base.py,2810,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\tests\test_base.py,3951,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\tests\test_base.py,3952,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\sparse\tests\test_base.py,3953,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\special\_testutils.py,49,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\special\utils\makenpz.py,73,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\stats\vonmises.py,27,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\stats\_multivariate.py,140,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\stats\tests\test_distributions.py,246,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\stats\tests\test_distributions.py,998,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\stats\tests\test_distributions.py,1000,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\stats\tests\test_mstats_basic.py,284,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\stats\tests\test_mstats_basic.py,295,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\weave\accelerate_tools.py,382,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\weave\accelerate_tools.py,385,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\weave\build_tools.py,478,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\weave\build_tools.py,555,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\weave\examples\vq.py,206,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\weave\examples\vq.py,214,3
scipy,v0.16.0b2,E:\my code\pysmell\subject_raw\scipy\scipy\scipy\_lib\_util.py,83,3
ansible,v1.9.2-0.1.rc1,E:\my code\pysmell\subject_raw\ansible\ansible\docsite\build-site.py,78,3
ansible,v1.9.2-0.1.rc1,E:\my code\pysmell\subject_raw\ansible\ansible\hacking\module_formatter.py,239,3
ansible,v1.9.2-0.1.rc1,E:\my code\pysmell\subject_raw\ansible\ansible\hacking\module_formatter.py,243,3
