subject,tag,file,lineno,PAR,experience-based,statistics-based,manual analysis
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\sparse\csr.py,383,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\sparse\linalg\dsolve\tests\test_linsolve.py,290,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\sparse\tests\test_base.py,645,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\spatial\_plotutils.py,9,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\special\tests\test_basic.py,2450,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\special\tests\test_ellip_harm.py,211,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\special\tests\test_mpmath.py,1453,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\mstats_extras.py,58,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,387,4,0,1,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,914,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,1330,4,0,1,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,1775,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,2567,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,3202,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,3528,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,3964,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_continuous_distns.py,4474,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_discrete_distns.py,224,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_discrete_distns.py,670,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_distn_infrastructure.py,1196,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_distn_infrastructure.py,2353,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\_multivariate.py,1327,4,0,1,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\tests\test_continuous_basic.py,307,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\stats\tests\test_kdeoth.py,85,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\weave\bytecodecompiler.py,555,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\weave\bytecodecompiler.py,679,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\weave\c_spec.py,136,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\weave\tests\test_scxx_object.py,301,3,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\tools\win32\build_scripts\pavement.py,145,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\callbacks.py,602,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\callback_plugins\noop.py,74,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\module_utils\facts.py,2039,4,0,1,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\playbook\__init__.py,188,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\runner\action_plugins\win_copy.py,367,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\runner\connection_plugins\paramiko_ssh.py,279,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\runner\lookup_plugins\env.py,27,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\lib\ansible\utils\plugins.py,209,4,0,1,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\plugins\callbacks\hipchat.py,97,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\plugins\callbacks\osx_say.py,82,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\plugins\inventory\digital_ocean.py,329,4,0,1,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\test\units\TestModuleUtilsDatabase.py,90,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\module_utils\basic.py,633,4,0,1,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\module_utils\rax.py,131,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\playbook\conditional.py,46,4,0,1,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\plugins\cache\memcached.py,43,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\plugins\callback\minimal.py,70,4,0,1,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\plugins\connections\jail.py,115,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\plugins\lookup\dict.py,22,3,0,0,0
ansible,v1.9.2-0.1.rc1,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ansible\ansible\v2\ansible\plugins\strategies\free.py,28,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\auth.py,141,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\connection.py,700,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\exception.py,410,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\storage_uri.py,812,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\cloudformation\stack.py,206,4,0,1,1
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\cloudfront\identity.py,88,4,0,1,1
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\cloudfront\__init__.py,192,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\cloudsearch\optionstatus.py,166,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\cloudsearchdomain\layer1.py,530,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\configservice\layer1.py,362,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\dynamodb\layer1.py,464,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\dynamodb2\table.py,752,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\connection.py,3200,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\instance.py,144,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\networkinterface.py,58,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\securitygroup.py,321,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\volumestatus.py,79,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\autoscale\launchconfig.py,45,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\autoscale\__init__.py,195,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\elb\attributes.py,51,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ec2\elb\policies.py,56,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\ecs\item.py,58,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\emr\emrobject.py,40,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\fps\connection.py,138,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\fps\response.py,95,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\glacier\layer1.py,661,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\gs\bucket.py,66,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\iam\connection.py,210,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\kinesis\layer1.py,559,4,0,1,1
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\machinelearning\layer1.py,1276,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\mturk\connection.py,267,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\mturk\question.py,99,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\mws\connection.py,498,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\mws\connection.py,774,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\mws\connection.py,1025,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\mws\response.py,125,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\pyami\config.py,92,5,1,1,1
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\rds\dbsubnetgroup.py,56,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\rds\__init__.py,1164,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\redshift\layer1.py,806,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\route53\record.py,70,4,0,1,1
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\s3\bucket.py,412,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\s3\key.py,768,5,1,1,1
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\s3\tagging.py,10,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\sdb\domain.py,299,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\sdb\db\manager\sdbmanager.py,110,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\sdb\db\manager\xmlmanager.py,344,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\sqs\attributes.py,33,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\sts\credentials.py,80,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\swf\layer1.py,1472,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\vpc\networkacl.py,154,4,0,1,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\boto\vpc\__init__.py,337,3,0,0,0
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\tests\integration\dynamodb2\test_layer1.py,88,5,1,1,1
boto,2.38.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\boto\boto\tests\unit\cloudsearch2\test_exceptions.py,9,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\docs\autogen_config.py,50,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\core\debugger.py,78,4,0,1,1
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\core\interactiveshell.py,138,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\core\magic.py,688,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\core\ultratb.py,400,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\core\magics\script.py,245,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\lib\deepreload.py,129,4,0,1,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\lib\tests\test_display.py,141,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\testing\plugin\ipdoctest.py,333,3,0,0,0
ipython,rel-3.1.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\ipython\ipython\IPython\utils\text.py,649,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\build_utils\waf.py,221,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\core\code_generators\genapi.py,108,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\core\tests\test_multiarray.py,2873,5,1,1,1
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\core\tests\test_regression.py,794,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\distutils\line_endings.py,63,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\distutils\command\build_ext.py,437,4,0,1,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\f2py\crackfortran.py,2658,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\lib\financial.py,708,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\lib\user_array.py,47,4,0,1,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\linalg\tests\test_linalg.py,560,3,0,0,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\ma\extras.py,326,5,1,1,1
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\polynomial\hermite_e.py,1116,4,0,1,0
numpy,v1.9.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\numpy\numpy\numpy\testing\noseclasses.py,292,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\collocations.py,178,5,1,1,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\featstruct.py,1862,5,1,1,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\internals.py,368,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tgrep.py,348,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tree.py,1406,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\app\chartparser_app.py,396,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\app\rdparser_app.py,352,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\ccg\combinator.py,59,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\chunk\regexp.py,1171,5,1,1,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\classify\tadm.py,28,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\bracket_parse.py,127,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\ipipan.py,224,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\semcor.py,210,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\wordnet.py,1560,4,0,1,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\draw\table.py,484,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\draw\util.py,164,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\draw\util.py,1886,4,0,1,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\metrics\agreement.py,178,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\chart.py,649,5,1,1,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\earleychart.py,182,4,0,1,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\nonprojectivedependencyparser.py,257,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\shiftreduce.py,122,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\boxer.py,629,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\drt.py,825,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\glue.py,521,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\logic.py,366,3,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\util.py,84,4,0,1,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tag\brill_trainer_orig.py,399,5,1,1,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tag\tnt.py,325,3,0,0,0
