id,summary,status,owner,type,component,version
14315,memcached doesn't support negative deltas for incr() and decr(),closed,manfre,Bug,Core (Cache system),1.2
14300,manage.py sqlcustom fails if models are in a submodule,closed,fheinz,Bug,Core (Management commands),1.2
14298,maximum open cursors exceeded on Jython and Oracle,closed,xoror,Bug,"Database layer (models, ORM)",master
14296,'manage.py test' failing for apps that access read-only databases,new,nobody,Bug,Testing framework,1.2
14294,default input_format not honoroed,closed,nobody,Bug,Documentation,1.2
14288,Template filter: linebreaksbr doesn't normalize newlines,closed,nobody,Bug,Template system,master
14287,TEST_MIRROR is not respected in routers,new,nobody,Bug,"Database layer (models, ORM)",1.2
14264,settings.configure has undocumented differences from using a settings module,closed,gwilson,Bug,Core (Other),master
14226,Bug in dumpdata dependency calculation involving ManyToManyFields,closed,koirikivi,Bug,Core (Serialization),1.2
14217,Fieldname cannot be the same as the Modelname when using model inheritance,assigned,niall,Bug,"Database layer (models, ORM)",1.2
14202,Rss201rev2Feed bug,closed,tmitchell,Bug,contrib.syndication,1.2
14184,Validators not called on MultiValueField,closed,paulcollins,Bug,Forms,1.2
14183,Geodjango models broken with pydoc,closed,dariog,Bug,GIS,1.1
14175,Comment object's user_name field too short for User.get_full_name,closed,nobody,Bug,contrib.comments,master
14170,Issue in get_language_from_request() if LANGUAGES setting is changed at runtime,closed,bouke,Bug,Internationalization,1.2
14129,Slovenian translation plural-forms,new,jezdez,Bug,Internationalization,1.2
14096,Insert code generated by models using multiple inheritance is incorrect and fails in postgresql,new,nobody,Bug,"Database layer (models, ORM)",1.2
14093,Confusing error when failing to create a session key because the cache is unavailable,closed,aaugustin,Bug,contrib.sessions,1.2
14091,Fix incorrect quoting in connection.queries,closed,jacob,Bug,"Database layer (models, ORM)",1.2
14087,django.core.management.get_commands only sees commands in the last package of a namespace package,new,nobody,Bug,Core (Other),master
14082,modelform_factory should use the form's metaclass,closed,Honza_Kral,Bug,Forms,master
14056,Wrong query generated when using reverse foreign key,closed,nobody,Bug,"Database layer (models, ORM)",master
14045,makemessage miss some gettext in javascript,closed,nedbatchelder,Bug,Internationalization,1.2
14043,Incorrect and/or confusing behaviour with nullable OneToOneField,closed,Anssi Kääriäinen <akaariai@…>,Bug,"Database layer (models, ORM)",master
14039,FileField special-casing breaks MultiValueField including a FileField,new,carljm,Bug,Forms,master
14035,Cannot access POST after request.encoding was set to a custom value,assigned,zimnyx,Bug,HTTP handling,master
14029,not operator on F objects silently fails,closed,marcosmoyano,Bug,"Database layer (models, ORM)",1.2
14028,setting db_column to same value as another column should not validate,closed,helenst,Bug,"Database layer (models, ORM)",1.2
14019,SQLInsertCompiler.as_sql() failure,closed,tobias,Bug,"Database layer (models, ORM)",1.2
14009,custom formset validation documentation is incomplete,new,nobody,Bug,Documentation,1.2
14003,Filtering on a relation whose model has a different PK type doesn't work,closed,nobody,Bug,"Database layer (models, ORM)",1.2
13971,Excluding a declared field in ModelForm in form’s subclass,closed,nobody,Bug,Forms,1.2
13965,"psycopg2 throws an ""can't adapt"" error on ugettext_lazy translated strings",new,nobody,Bug,Internationalization,1.2
13958,"There is an error, when a source file with backslash-r returns is interpreted by the Python error report page.",closed,saz,Bug,Core (Other),1.2
13937,Sub-query (exclude) fails when joining,closed,,Bug,"Database layer (models, ORM)",1.2
13936,django-admin makemessages generates PO files with an incorrect path to source code files,new,nobody,Bug,Core (Management commands),1.2
13926,GeometryCollections are not visible in OSMGeoAdmin,new,nobody,Bug,GIS,1.7
13908,contrib.sitemaps.view.index doesn't work in more than one location,closed,nobody,Bug,contrib.sitemaps,master
13901,File.chunks fails to read the entire file for some file-like objects,closed,nobody,Bug,File uploads/storage,master
13894,Disable upstream caching with messages framework,closed,nobody,Bug,contrib.messages,1.2
13883,SelectBox.js with grouping (optgroup elements),new,nobody,Bug,contrib.admin,1.2
13864,DatabaseError while saving with force_update set,closed,nobody,Bug,"Database layer (models, ORM)",master
13844,Errors when using character fields for aggregation,closed,wogan,Bug,"Database layer (models, ORM)",1.2
13842,XViewMiddleware fails with django.contrib.syndication.views.Feed,new,mk,Bug,Core (Other),master
13839,select_related caches None for non-existent objects in reverse one-to-one relations,closed,aaugustin,Bug,"Database layer (models, ORM)",1.2
13823,Regression from 1.2.1: admin.site.root_path is None and it breaks admin links,closed,jacmkno,Bug,contrib.admin,master
13822,ForeignKey's attname is counter-intuitive when referencing to a field not named 'id',closed,Suor,Bug,"Database layer (models, ORM)",1.2
13813,Comparison of database connections can raise AttributeError,closed,LukaszBalcerzak,Bug,"Database layer (models, ORM)",master
13810,number format routine improvement,closed,nobody,Bug,Core (Other),master
13809,FileField open method is only accepting 'rb' modes,new,,Bug,File uploads/storage,master
13803,Model attribute cannot be named pk and set primary_key=True,closed,hjeffrey,Bug,"Database layer (models, ORM)",master
13794,Django does not respect to_field's model on an inline model admin,closed,gautier,Bug,Forms,master
13793,reverse of OneToOne relation should use default manager if use_for_related_fields specified,new,nobody,Bug,"Database layer (models, ORM)",1.2
13781,select_related and multiple inheritance,closed,nobody,Bug,"Database layer (models, ORM)",master
13776,is_valid() with null field value on ModelForms from models with non-nullable ForeignKeys causes ValueError,closed,anubhav9042,Bug,Forms,master
13771,ForeignKey and Many2Many validation fails between databases,assigned,andrewsk,Bug,"Database layer (models, ORM)",master
13770,form BooleanField should clean the string u'false' as False.,closed,nobody,Bug,Forms,1.1
