ID,Title,Created At,Closed At
5990,Restart kernel dialog not working,2014-06-14T21:20:49Z,2014-06-15T00:11:21Z
5978,Set literals sometimes need escaping before timeit,2014-06-12T00:35:33Z,
5970,Tests don't run without jsonschema installed,2014-06-10T19:01:59Z,2014-06-10T22:47:19Z
5968,Notebook: Can't drop into pdb with widgets in Notebook,2014-06-10T17:30:06Z,
5967,scrollbar overflow output_subarea,2014-06-10T14:31:27Z,
5964,Traceback on Qt console exit,2014-06-09T21:22:57Z,2014-06-10T16:24:17Z
5952,Setting insert cell default type?,2014-06-06T02:48:08Z,
5950,qtconsole truncates help,2014-06-05T19:17:03Z,2014-06-09T21:25:02Z
5836,BUG autocomplete not working after minus sign,2014-05-10T18:36:18Z,
5828,Line continuation in raw string literals not parsed correctly,2014-05-09T12:59:36Z,
5812,Fix application name when printing subcommand help.,2014-05-07T22:37:34Z,2014-05-07T23:38:43Z
5790,fix some issues in dict key completion,2014-05-05T23:56:46Z,2014-05-08T23:28:20Z
5755,horisontal scrollbar overlaps tool tip,2014-04-30T02:25:01Z,2014-11-14T05:13:02Z
5743,Calling `set_title` on tab widget before display causes strange behavior.,2014-04-28T17:49:17Z,2015-01-03T04:36:00Z
5706,Multi-Directory notebooks overwrite each other's checkpoints,2014-04-23T10:50:19Z,2014-04-25T19:38:23Z
5688,Changing cell type changes the cursor position.,2014-04-21T18:15:27Z,2014-06-04T19:22:17Z
5676,"""bookmark -l"" not working in ipython 2.0",2014-04-19T18:05:13Z,2014-04-19T19:25:25Z
5671,Fix blank slides issue in Reveal slideshow pdf export,2014-04-18T22:20:14Z,2014-04-19T12:21:04Z
5670,nbconvert: Fix CWD imports,2014-04-18T20:40:28Z,2014-04-19T19:22:20Z
5663,Incorrect global declaration breaks iPython error display,2014-04-18T15:23:16Z,2014-11-14T18:38:19Z
5640,Whitespace in cell and line magics,2014-04-16T16:19:54Z,
5638,IPython completer generate wrong regexp,2014-04-16T14:53:50Z,
5629,"""Run All"" in the notebook hangs on %matplotlib qt",2014-04-15T23:26:04Z,
5581,Fix rmagic for cells ending in comment.,2014-04-10T16:32:50Z,2014-04-10T20:59:52Z
5570,"User Interface tour: too fast, too furious",2014-04-09T18:38:58Z,2015-01-21T05:23:57Z
5544,Notebook: convert URL to link fails when delayed,2014-04-07T08:34:50Z,2015-02-28T18:05:56Z
5537,IPython on Windows leaks connection files for secondary kernels in qtconsole,2014-04-06T12:19:00Z,2015-01-13T21:44:45Z
5530,"Notebooks with filenames with accented characters (""ã"", ""í"", etc.) don't open in 2.0",2014-04-05T15:19:49Z,2015-01-15T00:43:57Z
5527,Don't remove upload items from nav tree unless explicitly requested.,2014-04-04T23:55:32Z,2014-04-09T23:01:40Z
5521,Setting InlineBackend.figure_format='svg' does not present resize handle,2014-04-04T17:11:12Z,2014-04-21T22:57:40Z
5515,Carriage return behaves strangely in qtconsole,2014-04-03T23:20:29Z,
5508,Simple animations flicker in FF,2014-04-02T23:37:38Z,
5504,Notebook tooltip shows help for wrong function,2014-04-02T20:44:30Z,
5499,Error running widgets nbconvert example,2014-04-02T18:01:43Z,2014-05-08T18:09:53Z
5493,made a minor fix to one of the widget examples,2014-04-02T17:07:02Z,2014-04-04T16:11:23Z
5460,Can't start the notebook server specifying a notebook,2014-03-28T16:22:30Z,2014-03-28T18:54:33Z
5397,Accordion widget broken,2014-03-20T16:54:25Z,2014-03-25T01:08:17Z
5364,Horizontal scrollbar hides cell's last line on Firefox,2014-03-16T18:53:36Z,2014-05-15T17:55:04Z
5324,Style of `raw_input` UI is off in notebook,2014-03-10T22:17:38Z,2014-03-20T20:47:14Z
5298,tooltip related jumpy scroll bug,2014-03-08T08:00:46Z,2014-10-03T00:04:51Z
5297,tooltip triggers focus bug,2014-03-08T07:50:55Z,2014-03-24T22:18:45Z
5294,Enter in raw_input enters edit mode,2014-03-08T01:49:22Z,2014-03-11T21:53:24Z
5287,QtConsole - Can't type square brackets on Hungarian keyboard,2014-03-07T16:09:40Z,
5273,Run All Cells execution does not halt when exception is handled using set_custom_exc,2014-03-05T00:51:51Z,
5266,nbconvert doesn't use pandoc if node is installed without marked.,2014-03-03T21:59:03Z,2014-03-03T22:58:27Z
5264,Test failures on master with Anaconda,2014-03-03T21:53:13Z,2014-03-06T22:47:56Z
