subject,tag,file,lineno,NOC,PAR,NOO,experience-based,statistics-based,manual analysis
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\core\shellapp.py,40,51,0,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\core\shellapp.py,219,66,1,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\core\magics\osm.py,172,62,1,12,1,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\core\magics\osm.py,182,57,1,10,1,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\core\tests\test_interactiveshell.py,220,37,4,1,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\extensions\autoreload.py,314,45,2,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\extensions\autoreload.py,322,43,2,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\extensions\autoreload.py,323,48,2,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\extensions\autoreload.py,326,42,2,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\extensions\autoreload.py,328,43,2,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\extensions\autoreload.py,329,48,2,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\terminal\ipapp.py,111,54,0,6,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\testing\decorators.py,320,70,1,8,1,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\utils\text.py,161,42,1,7,0,0,0
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\utils\text.py,730,77,1,18,1,0,1
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\utils\tests\test_process.py,58,47,0,7,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\core\getlimits.py,150,37,1,10,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\core\numerictypes.py,867,43,2,7,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\core\tests\test_api.py,109,41,0,6,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\core\tests\test_datetime.py,525,56,1,7,1,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\core\tests\test_indexerrors.py,83,38,0,10,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\core\tests\test_indexerrors.py,86,38,0,10,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\distutils\cpuinfo.py,86,46,2,3,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\_iotools.py,188,42,1,8,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\tests\test_io.py,706,38,1,6,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\tests\test_io.py,1109,54,1,7,1,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\tests\test_io.py,1130,95,1,25,1,1,1
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\tests\test_io.py,1132,92,1,25,1,1,1
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\tests\test_io.py,1184,38,1,6,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\tests\test__datasource.py,242,43,1,9,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\lib\tests\test__datasource.py,282,46,1,9,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\testing\tests\test_utils.py,231,39,0,6,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\testing\tests\test_utils.py,270,39,0,7,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\testing\tests\test_utils.py,272,39,0,7,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\testing\tests\test_utils.py,335,43,0,6,0,0,0
numpy,v1.9.2,E:\my code\pysmell\subject_raw\numpy\numpy\numpy\testing\tests\test_utils.py,345,43,0,6,0,0,0
nltk,3.0.2,E:\my code\pysmell\subject_raw\nltk\nltk\nltk\collocations.py,330,48,1,11,0,0,0
