subject,tag,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\web.py,2832,43,2,9,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\websocket.py,555,40,1,8,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\websocket.py,600,62,1,11,1,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\wsgi.py,115,58,1,13,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\wsgi.py,290,28,1,7,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\platform\twisted.py,186,38,2,6,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\gen_test.py,362,54,1,10,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\httpserver_test.py,604,37,1,11,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,149,24,1,7,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,155,23,1,5,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,302,54,1,10,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,372,20,1,7,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,440,20,1,7,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\locks_test.py,441,33,1,5,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\netutil_test.py,198,45,1,12,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,51,30,1,7,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,131,49,1,11,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,146,47,1,10,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,200,23,1,5,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,232,49,1,11,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\queues_test.py,246,47,1,10,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\runtests.py,67,40,1,6,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\runtests.py,138,27,1,6,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\test\tcpclient_test.py,79,26,1,5,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\pavement.py,214,39,1,13,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\pavement.py,518,22,1,5,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\pavement.py,672,36,1,7,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\pavement.py,678,39,1,7,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\runtests.py,247,34,1,6,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\runtests.py,302,68,1,12,1,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\setup.py,213,38,2,7,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\run.py,126,82,2,15,1,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\io_matlab.py,103,42,1,10,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,84,25,1,4,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,85,25,1,4,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,86,25,1,4,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,87,25,1,4,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\optimize.py,89,36,2,6,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\sparse.py,71,63,1,13,1,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\sparse.py,137,40,1,9,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\benchmarks\benchmarks\stats.py,16,49,1,10,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\cluster\hierarchy.py,219,39,1,5,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\cluster\hierarchy.py,1829,41,1,6,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\constants\codata.py,975,59,2,10,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\constants\__init__.py,292,88,2,15,1,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\constants\__init__.py,295,95,1,29,1,0,1
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\constants\__init__.py,303,38,2,9,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\fftpack\basic.py,517,17,1,5,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\fftpack\basic.py,518,14,1,5,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\fftpack\tests\gen_fftw_ref.py,24,37,1,8,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\fftpack\tests\test_basic.py,810,41,1,10,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\fftpack\tests\test_real_transforms.py,13,32,1,9,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\fftpack\tests\test_real_transforms.py,14,32,1,9,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\integrate\quadpack.py,686,55,2,10,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\integrate\quadpack.py,695,51,2,10,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\integrate\quadpack.py,743,38,2,9,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\integrate\__init__.py,56,38,2,9,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\fitpack2.py,239,42,1,13,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\interpolate.py,238,33,1,9,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\interpolate.py,1368,20,1,5,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\interpolate.py,1657,27,1,6,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\interpolate.py,1711,24,1,7,0,0,0
scipy,v0.16.0b2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\scipy\scipy\scipy\interpolate\interpolate.py,1838,27,1,6,0,0,0
